mm,nits
9.15326,0.7368579
9.169069,0.7728598
9.184878,0.7831559
9.200686,0.7876976
9.216496,0.7409956
9.232305,0.785751
9.248113,0.7518314
9.263922,0.778596
9.279731,0.7789651
9.295539,0.8291522
9.311348,0.7750596
9.327157,0.7596231
9.342965,0.930074
9.358774,0.8988178
9.374583,0.8327108
9.390391,0.7854964
9.4062,0.7831381
9.422009,0.7079229
9.437818,0.767699
9.453627,0.8492861
9.469436,0.8262385
9.485244,0.7638263
9.501053,0.8843213
9.516862,0.8468074
9.53267,0.8259329
9.548479,0.8185926
9.564288,0.8841585
9.580096,0.8263881
9.595905,0.9038844
9.611714,0.9339857
9.627522,0.8201522
9.643332,0.8605691
9.659141,0.8540729
9.674949,0.9364728
9.690758,0.8222532
9.706567,0.8684288
9.722375,0.8959334
9.738184,0.9001154
9.753993,0.8913741
9.769801,0.8756063
9.78561,0.9331406
9.801419,0.963783
9.817227,0.826124
9.833036,0.8811381
9.848845,0.8418369
9.864654,0.8395837
9.880463,0.9019653
9.896272,0.8940084
9.91208,0.9322987
9.927889,0.9241835
9.943698,1.019514
9.959506,0.9202409
9.975315,0.9508274
9.991124,0.8951343
10.00693,0.9429374
10.02274,0.9567868
10.03855,0.9526033
10.05436,1.026218
10.07017,0.9816839
10.08598,1.108315
10.10178,1.062347
10.11759,1.017599
10.1334,1.001434
10.14921,1.034928
10.16502,1.098361
10.18083,1.143769
10.19664,1.093933
10.21245,1.098978
10.22826,1.059694
10.24406,1.073114
10.25987,1.142065
10.27568,1.117631
10.29149,1.073886
10.3073,1.070395
10.32311,1.118426
10.33892,1.0708
10.35472,1.136002
10.37053,1.117041
10.38634,1.199673
10.40215,1.151474
10.41796,1.131123
10.43377,1.221843
10.44958,1.240112
10.46539,1.126337
10.48119,1.157176
10.497,1.097798
10.51281,1.199242
10.52862,1.209411
10.54443,1.091299
10.56024,1.187393
10.57605,1.239388
10.59186,1.150215
10.60767,1.124214
10.62347,1.310125
10.63928,1.201774
10.65509,1.03917
10.6709,1.270988
10.68671,1.238653
10.70252,1.206348
10.71833,1.246812
10.73413,1.217214
10.74994,1.222452
10.76575,1.334719
10.78156,1.289026
10.79737,1.316771
10.81318,1.354485
10.82899,1.176508
10.8448,1.272294
10.8606,1.325678
10.87641,1.280111
10.89222,1.287197
10.90803,1.302101
10.92384,1.305017
10.93965,1.292432
10.95546,1.264171
10.97127,1.430996
10.98707,1.388682
11.00288,1.321577
11.01869,1.369249
11.0345,1.442819
11.05031,1.481725
11.06612,1.580793
11.08193,1.497463
11.09774,1.49564
11.11354,1.475291
11.12935,1.466804
11.14516,1.534148
11.16097,1.542387
11.17678,1.515758
11.19259,1.585434
11.2084,1.435072
11.22421,1.574456
11.24001,1.570319
11.25582,1.467106
11.27163,1.589987
11.28744,1.670345
11.30325,1.614198
11.31906,1.517863
11.33487,1.514553
11.35068,1.640685
11.36648,1.49968
11.38229,1.697469
11.3981,1.630848
11.41391,1.615549
11.42972,1.690374
11.44553,1.654027
11.46134,1.708122
11.47715,1.785825
11.49295,1.627221
11.50876,1.58163
11.52457,1.746801
11.54038,1.607007
11.55619,1.698616
11.572,1.758624
11.58781,1.754588
11.60362,1.799621
11.61942,1.810518
11.63523,1.964004
11.65104,1.675273
11.66685,1.643788
11.68266,1.774436
11.69847,1.811132
11.71428,1.674494
11.73009,1.764201
11.74589,1.929792
